Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,TSLA
2023-03-24,8869.08,5758.65,7272.15,9198.29,8027.48,8481.2,4761.12
2023-03-27,8760.05,5753.37,7066.62,9237.46,8257.55,8354.55,4796.13
2023-03-28,8725.19,5706.42,6967.99,9148.28,8282.62,8319.78,4730.62
2023-03-29,8897.86,5883.06,6992.82,9238.06,8299.33,8479.39,4847.89
2023-03-30,8985.86,5985.76,6958.34,9245.29,8274.26,8586.4,4882.9
2023-03-31,9126.44,6061.46,7154.21,9339.89,8374.52,8714.87,5187.45
2023-04-03,9196.73,6009.82,7197.66,9451.37,8364.88,8682.53,4870.14
2023-04-04,9166.84,6100.19,7222.49,9550.19,8253.05,8681.02,4815.38
2023-04-05,9063.34,5932.94,7205.25,9979.22,8265.36,8595.16,4638.85
2023-04-06,9113.16,5989.28,7477.68,9951.51,8256.29,8814.62,4627.35
2023-04-10,8967.6,5995.73,7341.12,9901.49,8283.5,8747.82,4613.6
2023-04-11,8899.52,5863.69,7265.94,9898.48,8324.3,8549.52,4670.61
2023-04-12,8860.78,5741.05,7216.97,9877.39,8323.01,8569.47,4514.33
2023-04-13,9162.96,6009.23,7409.4,10009.36,8354.74,8761.42,4648.35
2023-04-14,9143.6,6015.69,7508.72,9993.08,8985.61,8649.58,4625.85
2023-04-17,9144.7,6029.18,7308.7,9982.84,9056.86,8729.98,4676.86
2023-04-18,9213.33,6003.36,7207.32,9702.04,9158.54,8716.99,4608.59
2023-04-19,9277.53,6120.73,7185.25,9793.63,9146.88,8719.4,4515.58
2023-04-20,9223.29,6091.98,7261.8,9856.9,9120.33,8648.67,4075.5
2023-04-21,9133.08,6276.83,7270.08,9803.27,9102.84,8638.09,4127.76
